time,device,signals,fault
79,W25Q5122,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x3
79,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0",0x3
80,MAX4881,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
81,MAX4882,"0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x3
82,MAX4883,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
83,MAX4884,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
84,TJA1050,"0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
84,pc1041,"0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
85,SN74AHC2731,"0x0,0x1",0x0
85,uln2803a1,"0x0,0x0",0x0
85,pc1041,"0x1,0x1",0x0
86,SN74AHC2732,"0x0,0x1",0x0
86,uln2803a2,"0x0,0x1",0x0
86,pc1041,"0x1,0x0",0x0
87,SN74HC175,"0x0,0x1",0x0
87,uln2803a3,"0x0,0x1",0x0
87,pc1042,0x1,0x0
87,JB1910,0x0,0x0
88,ADS83441,"0x0,0x1",0x0
88,pc1042,"0x0,0x1",0x0
89,ADS83442,"0x0,0x0",0x5
89,pc1042,"0x0,0x1",0x5
90,JB1910,"0x0,0x1",0x0
90,pc1041,"0x0,0x1",0x0
91,W25Q5121,"0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x2
